»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2017-12-29,'603003,¡˙”Ó»º”Õ,11.55,11.66,11.48,11.59,11.56,-0.01,-0.0865,0.3411,1504723,17383719.0,5094873595.35,5094873595.35
2017-12-28,'603003,¡˙”Ó»º”Õ,11.56,11.63,11.42,11.59,11.59,-0.03,-0.2588,0.3549,1565628,18073338.0,5099284741.32,5099284741.32
2017-12-27,'603003,¡˙”Ó»º”Õ,11.59,11.84,11.54,11.6,11.6,-0.01,-0.0862,0.3603,1589493,18589488.0,5112518179.23,5112518179.23
2017-12-26,'603003,¡˙”Ó»º”Õ,11.6,11.67,11.44,11.48,11.48,0.12,1.0453,0.2904,1280948,14804009.0,5116929325.2,5116929325.2
2017-12-25,'603003,¡˙”Ó»º”Õ,11.48,11.8,11.47,11.8,11.91,-0.43,-3.6104,0.388,1711475,19857531.0,5063995573.56,5063995573.56
2017-12-22,'603003,¡˙”Ó»º”Õ,11.91,12.16,11.68,11.69,11.69,0.22,1.882,0.517,2280559,27215404.0,5253674850.27,5253674850.27
2017-12-21,'603003,¡˙”Ó»º”Õ,11.69,11.8,11.51,11.62,11.63,0.06,0.5159,0.3083,1360143,15842505.0,5156629638.93,5156629638.93
2017-12-20,'603003,¡˙”Ó»º”Õ,11.63,11.91,11.61,11.91,11.95,-0.32,-2.6778,0.4293,1893700,22235265.0,5130162763.11,5130162763.11
2017-12-19,'603003,¡˙”Ó»º”Õ,11.95,12.06,11.83,11.84,11.83,0.12,1.0144,0.2368,1044665,12486372.0,5271319434.15,5271319434.15
2017-12-18,'603003,¡˙”Ó»º”Õ,11.83,11.97,11.75,11.86,11.93,-0.1,-0.8382,0.2074,914806,10844348.0,5218385682.51,5218385682.51
2017-12-15,'603003,¡˙”Ó»º”Õ,11.93,12.03,11.87,12.02,12.07,-0.14,-1.1599,0.2306,1017252,12133321.0,5262497142.21,5262497142.21
2017-12-14,'603003,¡˙”Ó»º”Õ,12.07,12.1,11.88,12.05,12.08,-0.01,-0.0828,0.3753,1655675,19859350.0,5324253185.79,5324253185.79
2017-12-13,'603003,¡˙”Ó»º”Õ,12.08,12.26,11.95,11.97,12.05,0.03,0.249,0.3273,1443878,17443354.0,5328664331.76,5328664331.76
2017-12-12,'603003,¡˙”Ó»º”Õ,12.05,12.18,11.87,12.18,12.23,-0.18,-1.4718,0.6135,2706148,32410315.0,5315430893.85,5315430893.85
2017-12-11,'603003,¡˙”Ó»º”Õ,12.23,12.27,11.77,11.78,11.72,0.51,4.3515,0.8444,3724599,45002539.0,5394831521.31,5394831521.31
2017-12-08,'603003,¡˙”Ó»º”Õ,11.72,11.76,11.5,11.64,11.58,0.14,1.209,0.3119,1376001,16080483.0,5169863076.84,5169863076.84
2017-12-07,'603003,¡˙”Ó»º”Õ,11.58,11.72,11.52,11.55,11.6,-0.02,-0.1724,0.2957,1304193,15131560.0,5108107033.26,5108107033.26
2017-12-06,'603003,¡˙”Ó»º”Õ,11.6,11.72,11.32,11.47,11.55,0.05,0.4329,0.4631,2042847,23544345.0,5116929325.2,5116929325.2
2017-12-05,'603003,¡˙”Ó»º”Õ,11.55,12.22,11.34,12.21,12.23,-0.68,-5.5601,1.1215,4947200,57904705.0,5094873595.35,5094873595.35
2017-12-04,'603003,¡˙”Ó»º”Õ,12.23,12.48,12.15,12.48,12.42,-0.19,-1.5298,0.5347,2358800,28917193.0,5394831521.31,5394831521.31
2017-12-01,'603003,¡˙”Ó»º”Õ,12.42,12.62,12.35,12.62,12.53,-0.11,-0.8779,0.5163,2277500,28349027.0,5478643294.74,5478643294.74
2017-11-30,'603003,¡˙”Ó»º”Õ,12.53,12.66,12.36,12.39,12.39,0.14,1.1299,0.554,2443826,30622099.0,5527165900.41,5527165900.41
2017-11-29,'603003,¡˙”Ó»º”Õ,12.39,12.49,12.21,12.35,12.43,-0.04,-0.3218,0.5648,2491321,30763420.0,5465409856.83,5465409856.83
2017-11-28,'603003,¡˙”Ó»º”Õ,12.43,12.56,12.28,12.37,12.15,0.28,2.3045,0.5383,2374615,29471621.0,5483054440.71,5483054440.71
2017-11-27,'603003,¡˙”Ó»º”Õ,12.15,12.25,12.1,12.1,12.2,-0.05,-0.4098,0.4219,1861004,22681672.0,5359542353.55,5359542353.55
2017-11-24,'603003,¡˙”Ó»º”Õ,12.2,12.28,11.96,12.05,12.14,0.06,0.4942,0.4913,2167341,26287807.0,5381598083.4,5381598083.4
2017-11-23,'603003,¡˙”Ó»º”Õ,12.14,12.39,12.04,12.37,12.32,-0.18,-1.461,0.6536,2883073,35145947.0,5355131207.58,5355131207.58
2017-11-22,'603003,¡˙”Ó»º”Õ,12.32,12.43,12.16,12.33,12.31,0.01,0.0812,0.5587,2464682,30370399.0,5434531835.04,5434531835.04
2017-11-21,'603003,¡˙”Ó»º”Õ,12.31,12.6,12.22,12.47,12.53,-0.22,-1.7558,0.8494,3746837,46385343.0,5430120689.07,5430120689.07
2017-11-20,'603003,¡˙”Ó»º”Õ,12.53,12.8,12.13,12.8,12.73,-0.2,-1.5711,0.8598,3792569,47015653.0,5527165900.41,5527165900.41
2017-11-17,'603003,¡˙”Ó»º”Õ,12.73,14.15,12.68,14.1,14.09,-1.36,-9.6522,1.7026,7510600,100002105.0,5615388819.81,5615388819.81
2017-11-16,'603003,¡˙”Ó»º”Õ,14.09,14.2,13.97,14.17,14.1,-0.01,-0.0709,0.609,2686390,37893430.0,6215304671.73,6215304671.73
2017-11-15,'603003,¡˙”Ó»º”Õ,14.1,14.23,13.92,14.1,14.16,-0.06,-0.4237,1.0083,4447850,62355098.0,6219715817.7,6219715817.7
2017-11-14,'603003,¡˙”Ó»º”Õ,14.16,14.36,14.08,14.19,14.18,-0.02,-0.141,0.9945,4386948,62211385.0,6246182693.52,6246182693.52
2017-11-13,'603003,¡˙”Ó»º”Õ,14.18,14.77,14.07,14.69,14.67,-0.49,-3.3401,1.7796,7849885,112562400.0,6255004985.46,6255004985.46
2017-11-10,'603003,¡˙”Ó»º”Õ,14.67,14.92,14.62,14.77,14.84,-0.17,-1.1456,1.0047,4432006,65214788.0,6471151137.99,6471151137.99
2017-11-09,'603003,¡˙”Ó»º”Õ,14.84,14.9,14.46,14.61,14.71,0.13,0.8838,1.6176,7135401,104652511.0,6546140619.48,6546140619.48
2017-11-08,'603003,¡˙”Ó»º”Õ,14.71,15.05,14.7,14.95,15.15,-0.44,-2.9043,2.3623,10420461,154673838.0,6488795721.87,6488795721.87
2017-11-07,'603003,¡˙”Ó»º”Õ,15.15,15.22,14.6,14.85,14.75,0.4,2.7119,2.8073,12383305,184786336.0,6682886144.55,6682886144.55
2017-11-06,'603003,¡˙”Ó»º”Õ,14.75,14.88,14.48,14.7,14.65,0.1,0.6826,1.4658,6465943,94671115.0,6506440305.75,6506440305.75
2017-11-03,'603003,¡˙”Ó»º”Õ,14.65,14.67,14.31,14.38,14.38,0.27,1.8776,1.8456,8141199,118539439.0,6462328846.05,6462328846.05
2017-11-02,'603003,¡˙”Ó»º”Õ,14.38,14.58,14.27,14.45,14.53,-0.15,-1.0323,1.3347,5887358,84826286.0,6343227904.86,6343227904.86
2017-11-01,'603003,¡˙”Ó»º”Õ,14.53,14.72,14.16,14.16,14.24,0.29,2.0365,2.2531,9938847,143441610.0,6409395094.41,6409395094.41
2017-10-31,'603003,¡˙”Ó»º”Õ,14.24,14.36,13.86,13.95,13.94,0.3,2.1521,1.4575,6429263,90639855.0,6281471861.28,6281471861.28
2017-10-30,'603003,¡˙”Ó»º”Õ,13.94,14.24,13.78,14.19,14.17,-0.23,-1.6231,1.2661,5584981,77893572.0,6149137482.18,6149137482.18
2017-10-27,'603003,¡˙”Ó»º”Õ,14.17,14.25,14.05,14.1,14.07,0.1,0.7107,1.4143,6238739,88288652.0,6250593839.49,6250593839.49
2017-10-26,'603003,¡˙”Ó»º”Õ,14.07,14.17,13.99,14.05,14.03,0.04,0.2851,1.7972,7927749,111418630.0,6206482379.79,6206482379.79
2017-10-25,'603003,¡˙”Ó»º”Õ,14.03,14.42,13.85,13.88,14.46,-0.43,-2.9737,2.5279,11151130,156317325.0,6188837795.91,6188837795.91
2017-10-24,'603003,¡˙”Ó»º”Õ,14.46,14.68,14.36,14.68,14.74,-0.28,-1.8996,0.7752,3419356,49509084.0,6378517072.62,6378517072.62
2017-10-23,'603003,¡˙”Ó»º”Õ,14.74,14.86,14.59,14.61,14.88,-0.14,-0.9409,1.2293,5422523,79746611.0,6502029159.78,6502029159.78
2017-10-20,'603003,¡˙”Ó»º”Õ,14.88,14.97,14.36,14.37,13.9,0.98,7.0504,2.332,10286884,150878254.0,6563785203.36,6563785203.36
2017-10-19,'603003,¡˙”Ó»º”Õ,13.9,14.16,13.78,14.16,14.1,-0.2,-1.4184,0.3497,1542700,21516660.0,6131492898.3,6131492898.3
2017-10-18,'603003,¡˙”Ó»º”Õ,14.1,14.24,14.08,14.15,14.13,-0.03,-0.2123,0.2991,1319236,18642889.0,6219715817.7,6219715817.7
2017-10-17,'603003,¡˙”Ó»º”Õ,14.13,14.24,14.1,14.2,14.19,-0.06,-0.4228,0.2736,1207000,17082632.0,6232949255.61,6232949255.61
2017-10-16,'603003,¡˙”Ó»º”Õ,14.19,14.54,14.07,14.46,14.54,-0.35,-2.4072,0.3734,1647036,23610073.0,6259416131.43,6259416131.43
2017-10-13,'603003,¡˙”Ó»º”Õ,14.54,14.58,14.4,14.58,14.52,0.02,0.1377,0.4048,1785738,25835495.0,6413806240.38,6413806240.38
2017-10-12,'603003,¡˙”Ó»º”Õ,14.52,14.57,14.33,14.38,14.42,0.1,0.6935,0.5195,2291755,33137484.0,6404983948.44,6404983948.44
2017-10-11,'603003,¡˙”Ó»º”Õ,14.42,14.55,14.25,14.25,14.28,0.14,0.9804,0.7056,3112711,44991738.0,6360872488.74,6360872488.74
2017-10-10,'603003,¡˙”Ó»º”Õ,14.28,14.32,14.08,14.28,14.27,0.01,0.0701,0.4155,1832755,26104703.0,6299116445.16,6299116445.16
