»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2017-12-29,'601933,”¿ª‘≥¨ –,10.1,10.19,9.98,10.08,10.08,0.02,0.1984,1.0925,71110260,715388357.0,96661667290.8,65739599928.0
2017-12-28,'601933,”¿ª‘≥¨ –,10.08,10.2,9.91,10.05,10.05,0.03,0.2985,1.3639,88775505,894481376.0,96470258048.6,65609422502.4
2017-12-27,'601933,”¿ª‘≥¨ –,10.05,10.33,9.98,10.32,10.34,-0.29,-2.8046,2.0146,131128962,1329339408.0,96183144185.4,65414156364.0
2017-12-26,'601933,”¿ª‘≥¨ –,10.34,10.47,10.25,10.39,10.63,-0.29,-2.7281,2.0043,130458618,1350218090.0,98958578196.7,67301729035.2
2017-12-25,'601933,”¿ª‘≥¨ –,10.63,10.84,10.44,10.7,10.6,0.03,0.283,2.4413,158903306,1697883912.0,1.01734012208e+11,69189301706.4
2017-12-22,'601933,”¿ª‘≥¨ –,10.6,10.88,10.23,10.65,10.8,-0.2,-1.8519,3.1703,206350058,2172894205.0,1.01446898345e+11,68994035568.0
2017-12-21,'601933,”¿ª‘≥¨ –,10.8,10.9,10.51,10.8,10.95,-0.15,-1.3699,3.2993,214749507,2303215406.0,1.03360990766e+11,70295809824.0
2017-12-20,'601933,”¿ª‘≥¨ –,10.95,11.18,10.2,10.26,10.21,0.74,7.2478,5.2205,339794257,3636394224.0,1.04796560083e+11,71272140516.0
2017-12-19,'601933,”¿ª‘≥¨ –,10.21,10.48,9.95,10.03,10.33,-0.12,-1.1617,3.3482,217931084,2221321149.0,97714418122.7,66455575768.8
2017-12-18,'601933,”¿ª‘≥¨ –,10.33,10.76,9.94,10.76,9.78,0.55,5.6237,7.6966,500960834,5307130243.0,98862873575.6,67236640322.4
2017-12-15,'601933,”¿ª‘≥¨ –,0.0,0.0,0.0,0.0,9.78,None,None,0.0,0,0.0,93599119416.2,63656761118.4
2017-12-14,'601933,”¿ª‘≥¨ –,0.0,0.0,0.0,0.0,9.78,None,None,0.0,0,0.0,93599119416.2,63656761118.4
2017-12-13,'601933,”¿ª‘≥¨ –,0.0,0.0,0.0,0.0,9.78,None,None,0.0,0,0.0,93599119416.2,63656761118.4
2017-12-12,'601933,”¿ª‘≥¨ –,0.0,0.0,0.0,0.0,9.78,None,None,0.0,0,0.0,93599119416.2,63656761118.4
2017-12-11,'601933,”¿ª‘≥¨ –,0.0,0.0,0.0,0.0,9.78,None,None,0.0,0,0.0,93599119416.2,63656761118.4
2017-12-08,'601933,”¿ª‘≥¨ –,9.78,9.78,8.76,8.89,8.89,0.89,10.0112,0.944,61443249,577272576.0,93599119416.2,63656761118.4
2017-12-07,'601933,”¿ª‘≥¨ –,8.89,9.12,8.87,9.01,9.0,-0.11,-1.2222,0.7351,47846208,429949725.0,85081408140.1,57863865679.2
2017-12-06,'601933,”¿ª‘≥¨ –,9.0,9.12,8.88,9.04,9.04,-0.04,-0.4425,1.271,82731003,741542086.0,86134158972.0,58579841520.0
2017-12-05,'601933,”¿ª‘≥¨ –,9.04,9.2,8.97,9.2,9.22,-0.18,-1.9523,1.0561,68740674,624046729.0,86516977456.3,58840196371.2
2017-12-04,'601933,”¿ª‘≥¨ –,9.22,9.27,8.85,9.02,8.97,0.25,2.7871,1.1835,77035200,700450389.0,88239660635.8,60011793201.6
2017-12-01,'601933,”¿ª‘≥¨ –,8.97,9.2,8.91,9.2,9.07,-0.1,-1.1025,0.9276,60374561,543447691.0,85847045108.8,58384575381.6
2017-11-30,'601933,”¿ª‘≥¨ –,9.07,9.34,9.05,9.2,9.29,-0.22,-2.3681,0.6051,39387545,360521639.0,86804091319.6,59035462509.6
2017-11-29,'601933,”¿ª‘≥¨ –,9.29,9.43,9.08,9.39,9.36,-0.07,-0.7479,1.0029,65276370,601891062.0,88909592983.3,60467414191.2
2017-11-28,'601933,”¿ª‘≥¨ –,9.36,9.45,9.02,9.05,9.06,0.3,3.3113,0.9077,59083351,548727337.0,89579525330.9,60923035180.8
2017-11-27,'601933,”¿ª‘≥¨ –,9.06,9.76,9.03,9.72,9.76,-0.7,-7.1721,1.452,94508022,885669926.0,86708386698.5,58970373796.8
2017-11-24,'601933,”¿ª‘≥¨ –,9.76,10.0,9.56,9.73,9.75,0.01,0.1026,1.019,66325731,648211968.0,93407710174.1,63526583692.8
2017-11-23,'601933,”¿ª‘≥¨ –,9.75,10.24,9.73,10.21,10.27,-0.52,-5.0633,1.149,74787414,746826593.0,93312005553.0,63461494980.0
2017-11-22,'601933,”¿ª‘≥¨ –,10.27,10.63,10.14,10.54,10.49,-0.22,-2.0972,1.2737,82901047,854819787.0,98288645849.2,66846108045.6
2017-11-21,'601933,”¿ª‘≥¨ –,10.49,10.5,9.77,9.83,9.8,0.69,7.0408,1.7881,116382420,1189151335.0,1.00394147513e+11,68278059727.2
2017-11-20,'601933,”¿ª‘≥¨ –,9.8,9.88,9.31,9.65,9.59,0.21,2.1898,1.3531,88069620,855562455.0,93790528658.4,63786938544.0
2017-11-17,'601933,”¿ª‘≥¨ –,9.59,10.07,9.55,9.97,9.99,-0.4,-4.004,1.2572,81830300,801080411.0,91780731615.7,62420075575.2
2017-11-16,'601933,”¿ª‘≥¨ –,9.99,10.1,9.75,9.96,9.98,0.01,0.1002,1.0136,65974417,654882484.0,95608916458.9,65023624087.2
2017-11-15,'601933,”¿ª‘≥¨ –,9.98,10.16,9.61,9.98,10.01,-0.03,-0.2997,1.2995,84585977,836289852.0,95513211837.8,64958535374.4
2017-11-14,'601933,”¿ª‘≥¨ –,10.01,10.25,9.92,10.15,10.17,-0.16,-1.5733,0.9338,60780458,611096244.0,95800325701.1,65153801512.8
2017-11-13,'601933,”¿ª‘≥¨ –,10.17,10.46,10.01,10.3,10.32,-0.15,-1.4535,1.225,79731243,810622498.0,97331599638.4,66195220917.6
2017-11-10,'601933,”¿ª‘≥¨ –,10.32,10.49,10.1,10.3,10.32,0.0,0.0,1.1909,77517050,797016387.0,98767168954.6,67171551609.6
2017-11-09,'601933,”¿ª‘≥¨ –,10.32,10.4,9.91,10.01,10.0,0.32,3.2,1.414,92033284,933836930.0,98767168954.6,67171551609.6
2017-11-08,'601933,”¿ª‘≥¨ –,10.0,10.33,9.97,10.2,10.18,-0.18,-1.7682,1.0311,67115053,674917892.0,95704621080.0,65088712800.0
2017-11-07,'601933,”¿ª‘≥¨ –,10.18,10.49,9.92,10.15,10.03,0.15,1.4955,1.7165,111727982,1129227560.0,97427304259.4,66260309630.4
2017-11-06,'601933,”¿ª‘≥¨ –,10.03,10.17,9.19,9.28,9.26,0.77,8.3153,2.1519,140063757,1371376666.0,95991734943.2,65283978938.4
2017-11-03,'601933,”¿ª‘≥¨ –,9.26,9.46,9.13,9.18,9.22,0.04,0.4338,0.9994,65047553,607956671.0,88622479120.1,60272148052.8
2017-11-02,'601933,”¿ª‘≥¨ –,9.22,9.34,9.01,9.03,9.13,0.09,0.9858,1.2051,78440797,720626675.0,88239660635.8,60011793201.6
2017-11-01,'601933,”¿ª‘≥¨ –,9.13,9.74,9.11,9.62,9.65,-0.52,-5.3886,1.7907,116555879,1095791889.0,87378319046.0,59425994786.4
2017-10-31,'601933,”¿ª‘≥¨ –,9.65,9.94,9.47,9.74,9.72,-0.07,-0.7202,1.1643,75785638,731952022.0,92354959342.2,62810607852.0
2017-10-30,'601933,”¿ª‘≥¨ –,9.72,9.89,9.3,9.35,9.43,0.29,3.0753,1.4348,93387307,898910425.0,93024891689.8,63266228841.6
2017-10-27,'601933,”¿ª‘≥¨ –,9.43,9.57,9.32,9.45,9.45,-0.02,-0.2116,0.6368,41447880,389838643.0,90249457678.4,61378656170.4
2017-10-26,'601933,”¿ª‘≥¨ –,9.45,9.54,9.11,9.15,9.16,0.29,3.1659,0.949,61768425,579891791.0,90440866920.6,61508833596.0
2017-10-25,'601933,”¿ª‘≥¨ –,9.16,9.28,8.93,8.97,8.97,0.19,2.1182,0.7791,50711018,464719617.0,87665432909.3,59621260924.8
2017-10-24,'601933,”¿ª‘≥¨ –,8.97,9.09,8.92,9.08,9.05,-0.08,-0.884,0.4755,30948535,278378351.0,85847045108.8,58384575381.6
2017-10-23,'601933,”¿ª‘≥¨ –,9.05,9.11,8.91,9.0,9.02,0.03,0.3326,0.6023,39200169,353467789.0,86612682077.4,58905285084.0
2017-10-20,'601933,”¿ª‘≥¨ –,9.02,9.16,8.92,9.08,9.17,-0.15,-1.6358,0.7388,48088727,433157125.0,86325568214.2,58710018945.6
2017-10-19,'601933,”¿ª‘≥¨ –,9.17,9.2,8.73,8.85,8.88,0.29,3.2658,1.0574,68823990,617932854.0,87761137530.4,59686349637.6
2017-10-18,'601933,”¿ª‘≥¨ –,8.88,8.94,8.76,8.9,8.95,-0.07,-0.7821,0.6072,39521568,349465000.0,84985703519.0,57798776966.4
2017-10-17,'601933,”¿ª‘≥¨ –,8.95,9.09,8.7,8.97,8.95,0.0,0.0,0.9859,64168889,569458932.0,85655635866.6,58254397956.0
2017-10-16,'601933,”¿ª‘≥¨ –,8.95,9.2,8.75,8.81,8.8,0.15,1.7045,1.1948,77766686,699843954.0,85655635866.6,58254397956.0
2017-10-13,'601933,”¿ª‘≥¨ –,8.8,8.93,8.61,8.71,8.72,0.08,0.9174,1.0633,69209161,604938058.0,84220066550.4,57278067264.0
2017-10-12,'601933,”¿ª‘≥¨ –,8.72,8.97,8.1,8.21,8.3,0.42,5.0602,1.6205,105473212,903229788.0,83454429581.8,56757357561.6
2017-10-11,'601933,”¿ª‘≥¨ –,8.3,8.56,8.18,8.2,8.24,0.06,0.7282,0.7593,49424473,413581509.0,79434835496.4,54023631624.0
2017-10-10,'601933,”¿ª‘≥¨ –,8.24,8.36,8.16,8.29,8.25,-0.01,-0.1212,0.6474,42141312,347434273.0,78860607769.9,53633099347.2
2017-10-09,'601933,”¿ª‘≥¨ –,8.25,8.35,8.01,8.06,7.99,0.26,3.2541,1.0942,71218478,584116681.0,78956312391.0,53698188060.0
2017-09-29,'601933,”¿ª‘≥¨ –,7.99,8.13,7.8,7.8,7.79,0.2,2.5674,0.9853,64134693,514006923.0,76467992242.9,52005881527.2
2017-09-28,'601933,”¿ª‘≥¨ –,7.79,7.8,7.7,7.78,7.77,0.02,0.2574,0.4334,28211252,218727349.0,74553899821.3,50704107271.2
2017-09-27,'601933,”¿ª‘≥¨ –,7.77,7.89,7.67,7.75,7.69,0.08,1.0403,0.652,42438012,329141503.0,74362490579.2,50573929845.6
2017-09-26,'601933,”¿ª‘≥¨ –,7.69,7.8,7.6,7.68,7.68,0.01,0.1302,0.4409,28697505,220769425.0,73596853610.5,50053220143.2
2017-09-25,'601933,”¿ª‘≥¨ –,7.68,7.78,7.57,7.74,7.77,-0.09,-1.1583,0.7211,46935662,359659668.0,73501148989.4,49988131430.4
2017-09-22,'601933,”¿ª‘≥¨ –,7.77,7.94,7.73,7.91,7.98,-0.21,-2.6316,0.7632,49675646,388269994.0,74362490579.2,50573929845.6
2017-09-21,'601933,”¿ª‘≥¨ –,7.98,8.15,7.7,7.88,7.92,0.06,0.7576,0.9715,63235764,504067663.0,76372287621.8,51940792814.4
2017-09-20,'601933,”¿ª‘≥¨ –,7.92,8.06,7.68,7.86,7.81,0.11,1.4085,1.4969,97432605,770085076.0,75798059895.4,51550260537.6
2017-09-19,'601933,”¿ª‘≥¨ –,7.81,7.97,7.32,7.38,7.36,0.45,6.1141,2.1026,136854776,1058187904.0,74745309063.5,50834284696.8
2017-09-18,'601933,”¿ª‘≥¨ –,7.36,7.55,7.32,7.34,7.32,0.04,0.5464,0.9233,60094024,445438801.0,70438601114.9,47905292620.8
2017-09-15,'601933,”¿ª‘≥¨ –,7.32,7.42,6.92,6.96,6.97,0.35,5.0215,1.7174,111783966,806878612.0,70055782630.6,47644937769.6
2017-09-14,'601933,”¿ª‘≥¨ –,6.97,7.04,6.9,7.04,7.01,-0.04,-0.5706,0.3169,20629243,143845244.0,66706120892.8,45366832821.6
2017-09-13,'601933,”¿ª‘≥¨ –,7.01,7.06,6.99,7.05,7.03,-0.02,-0.2845,0.2925,19040847,133839923.0,67088939377.1,45627187672.8
2017-09-12,'601933,”¿ª‘≥¨ –,7.03,7.06,6.97,7.02,7.03,0.0,0.0,0.3727,24256790,169727384.0,67280348619.2,45757365098.4
2017-09-11,'601933,”¿ª‘≥¨ –,7.03,7.13,7.02,7.05,7.05,-0.02,-0.2837,0.3886,25290482,178956383.0,67280348619.2,45757365098.4
2017-09-08,'601933,”¿ª‘≥¨ –,7.05,7.12,6.98,6.98,7.01,0.04,0.5706,0.4586,29851114,210382265.0,67471757861.4,45887542524.0
2017-09-07,'601933,”¿ª‘≥¨ –,7.01,7.07,6.94,7.06,7.06,-0.05,-0.7082,0.424,27598853,193074980.0,67088939377.1,45627187672.8
2017-09-06,'601933,”¿ª‘≥¨ –,7.06,7.08,6.99,7.08,7.09,-0.03,-0.4231,0.3537,23024575,162101572.0,67567462482.5,45952631236.8
2017-09-05,'601933,”¿ª‘≥¨ –,7.09,7.13,7.0,7.01,7.01,0.08,1.1412,0.8081,52599104,372864157.0,67854576345.7,46147897375.2
2017-09-04,'601933,”¿ª‘≥¨ –,7.01,7.02,6.88,6.96,6.96,0.05,0.7184,0.6706,43648201,304245590.0,67088939377.1,45627187672.8
2017-09-01,'601933,”¿ª‘≥¨ –,6.96,6.97,6.77,6.82,6.81,0.15,2.2026,0.665,43283146,297043163.0,66610416271.7,45301744108.8
2017-08-31,'601933,”¿ª‘≥¨ –,6.81,6.89,6.77,6.88,6.88,-0.07,-1.0174,0.5717,37207976,253518122.0,65174846955.5,44325413416.8
2017-08-30,'601933,”¿ª‘≥¨ –,6.88,6.91,6.84,6.88,6.9,-0.02,-0.2899,0.2844,18513296,127134002.0,65844779303.0,44781034406.4
2017-08-29,'601933,”¿ª‘≥¨ –,6.9,6.94,6.85,6.91,6.93,-0.03,-0.4329,0.4293,27940114,192369999.0,66036188545.2,44911211832.0
