日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-29,'600225,*ST松江,5.03,5.04,4.92,4.94,4.94,0.09,1.8219,0.4184,3558230,17683580.0,4705527853.45,4277771447.4
2017-12-28,'600225,*ST松江,4.94,4.99,4.93,4.99,4.99,-0.05,-1.002,0.2663,2264663,11214242.0,4621333518.1,4201230805.2
2017-12-27,'600225,*ST松江,4.99,5.02,4.97,5.0,5.01,-0.02,-0.3992,0.1479,1257600,6278777.0,4668108148.85,4243753384.2
2017-12-26,'600225,*ST松江,5.01,5.03,4.96,5.01,5.0,0.01,0.2,0.2785,2368900,11817730.0,4686818001.15,4260762415.8
2017-12-25,'600225,*ST松江,5.0,5.06,4.98,5.0,5.02,-0.02,-0.3984,0.2288,1945593,9774307.0,4677463075.0,4252257900.0
2017-12-22,'600225,*ST松江,5.02,5.03,4.96,5.02,5.01,0.01,0.1996,0.285,2423501,12095599.0,4696172927.3,4269266931.6
2017-12-21,'600225,*ST松江,5.01,5.03,4.95,5.03,5.03,-0.02,-0.3976,0.2231,1897297,9469701.0,4686818001.15,4260762415.8
2017-12-20,'600225,*ST松江,5.03,5.06,5.0,5.01,5.03,0.0,0.0,0.195,1658421,8333167.0,4705527853.45,4277771447.4
2017-12-19,'600225,*ST松江,5.03,5.04,4.98,5.01,5.02,0.01,0.1992,0.2536,2156424,10807055.0,4705527853.45,4277771447.4
2017-12-18,'600225,*ST松江,5.02,5.1,5.0,5.06,5.07,-0.05,-0.9862,0.3588,3051662,15392609.0,4696172927.3,4269266931.6
2017-12-15,'600225,*ST松江,5.07,5.1,5.02,5.06,5.08,-0.01,-0.1969,0.2599,2210561,11181459.0,4742947558.05,4311789510.6
2017-12-14,'600225,*ST松江,5.08,5.15,5.07,5.1,5.07,0.01,0.1972,0.4124,3507060,17915772.0,4752302484.2,4320294026.4
2017-12-13,'600225,*ST松江,5.07,5.1,5.0,5.05,5.05,0.02,0.396,0.2451,2084826,10545226.0,4742947558.05,4311789510.6
2017-12-12,'600225,*ST松江,5.05,5.06,4.99,5.02,5.04,0.01,0.1984,0.3589,3052667,15324296.0,4724237705.75,4294780479.0
2017-12-11,'600225,*ST松江,5.04,5.24,5.03,5.05,4.99,0.05,1.002,0.748,6361557,32580723.0,4714882779.6,4286275963.2
2017-12-08,'600225,*ST松江,4.99,5.01,4.96,4.96,4.98,0.01,0.2008,0.1871,1591400,7947257.0,4668108148.85,4243753384.2
2017-12-07,'600225,*ST松江,4.98,4.99,4.82,4.88,4.93,0.05,1.0142,0.4548,3868014,18983556.0,4658753222.7,4235248868.4
2017-12-06,'600225,*ST松江,4.93,4.95,4.71,4.9,4.87,0.06,1.232,0.7256,6171300,29672955.0,4611978591.95,4192726289.4
2017-12-05,'600225,*ST松江,4.87,5.03,4.79,5.01,5.04,-0.17,-3.373,0.6921,5886322,28825067.0,4555849035.05,4141699194.6
2017-12-04,'600225,*ST松江,5.04,5.07,4.97,5.03,5.03,0.01,0.1988,0.517,4397118,22063271.0,4714882779.6,4286275963.2
2017-12-01,'600225,*ST松江,5.03,5.07,4.99,5.0,5.02,0.01,0.1992,0.2196,1867678,9393846.0,4705527853.45,4277771447.4
2017-11-30,'600225,*ST松江,5.02,5.04,4.98,5.03,5.03,-0.01,-0.1988,0.1565,1330802,6664539.0,4696172927.3,4269266931.6
2017-11-29,'600225,*ST松江,5.03,5.07,4.98,5.06,5.06,-0.03,-0.5929,0.2617,2226013,11153066.0,4705527853.45,4277771447.4
2017-11-28,'600225,*ST松江,5.06,5.08,5.0,5.02,5.02,0.04,0.7968,0.3364,2860688,14374851.0,4733592631.9,4303284994.8
2017-11-27,'600225,*ST松江,5.02,5.09,4.99,5.0,5.01,0.01,0.1996,0.214,1820010,9159020.0,4696172927.3,4269266931.6
2017-11-24,'600225,*ST松江,5.01,5.07,4.93,4.97,4.97,0.04,0.8048,0.2658,2260588,11307380.0,4686818001.15,4260762415.8
2017-11-23,'600225,*ST松江,4.97,5.04,4.92,5.04,5.03,-0.06,-1.1928,0.271,2304831,11446937.0,4649398296.55,4226744352.6
2017-11-22,'600225,*ST松江,5.03,5.11,4.94,5.01,5.02,0.01,0.1992,0.4057,3450225,17322744.0,4705527853.45,4277771447.4
2017-11-21,'600225,*ST松江,5.02,5.06,4.94,4.94,5.0,0.02,0.4,0.3787,3220824,16119761.0,4696172927.3,4269266931.6
2017-11-20,'600225,*ST松江,5.0,5.09,4.9,5.03,5.09,-0.09,-1.7682,0.6376,5422432,26984503.0,4677463075.0,4252257900.0
2017-11-17,'600225,*ST松江,5.09,5.29,5.04,5.27,5.3,-0.21,-3.9623,0.7362,6261423,32094374.0,4761657410.35,4328798542.2
