»’∆Џ,є…∆±іъ¬л,√ы≥∆, ’≈ћЉџ,„оЄяЉџ,„оµЌЉџ,њ™≈ћЉџ,«∞ ’≈ћ,’«µшґо,’«µшЈщ,її ÷¬ ,≥…љїЅњ,≥…љїљрґо,„№ –÷µ,ЅчЌ® –÷µ
2017-01-23,'603993,¬е—фов“µ,4.02,4.1,3.92,3.93,3.92,0.1,2.551,0.6258,81059081,325644902.0,67886538770.0,52073997410.0
2017-01-20,'603993,¬е—фов“µ,3.92,3.94,3.9,3.9,3.93,-0.01,-0.2545,0.2156,27925690,109424839.0,66197818900.1,50778624340.1
2017-01-19,'603993,¬е—фов“µ,3.93,3.94,3.88,3.91,3.91,0.02,0.5115,0.2562,33189242,129713550.0,66366690887.1,50908161647.1
2017-01-18,'603993,¬е—фов“µ,3.91,4.01,3.9,3.99,4.0,-0.09,-2.25,0.3872,50157156,197859834.0,66028946913.1,50649087033.1
2017-01-17,'603993,¬е—фов“µ,4.0,4.02,3.92,3.96,3.99,0.01,0.2506,0.3564,46173243,183649147.0,67548794796.0,51814922796.0
2017-01-16,'603993,¬е—фов“µ,3.99,4.0,3.83,3.92,3.92,0.07,1.7857,0.6602,85517947,335866829.0,67379922809.0,51685385489.0
2017-01-13,'603993,¬е—фов“µ,3.92,4.06,3.89,3.89,3.89,0.03,0.7712,0.5168,66939910,265242843.0,66197818900.1,50778624340.1
2017-01-12,'603993,¬е—фов“µ,3.89,3.95,3.87,3.92,3.97,-0.08,-2.0151,0.4576,59270531,231834570.0,65691202939.1,50390012419.1
2017-01-11,'603993,¬е—фов“µ,3.97,4.18,3.84,3.84,3.83,0.14,3.6554,1.0577,137016136,548940791.0,67042178835.0,51426310875.0
2017-01-10,'603993,¬е—фов“µ,3.83,3.84,3.78,3.79,3.79,0.04,1.0554,0.2484,32171991,122594934.0,64677971017.2,49612788577.2
2017-01-09,'603993,¬е—фов“µ,3.79,3.8,3.75,3.76,3.77,0.02,0.5305,0.1371,17758203,67029323.0,64002483069.2,49094639349.2
2017-01-06,'603993,¬е—фов“µ,3.77,3.81,3.75,3.79,3.8,-0.03,-0.7895,0.2157,27938643,105588712.0,63664739095.2,48835564735.2
2017-01-05,'603993,¬е—фов“µ,3.8,3.82,3.77,3.78,3.8,0.0,0.0,0.1824,23627231,89681075.0,64171355056.2,49224176656.2
2017-01-04,'603993,¬е—фов“µ,3.8,3.8,3.73,3.75,3.75,0.05,1.3333,0.2278,29505081,111088477.0,64171355056.2,49224176656.2
2017-01-03,'603993,¬е—фов“µ,3.75,3.76,3.71,3.72,3.72,0.03,0.8065,0.1498,19399830,72602348.0,63326995121.2,48576490121.2
