日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-29,'600582,天地科技,4.65,4.68,4.56,4.59,4.59,0.06,1.3072,0.5412,15015045,69176398.0,19244438347.8,12900662725.5
2017-12-28,'600582,天地科技,4.59,4.66,4.57,4.63,4.63,-0.04,-0.8639,0.3901,10823984,49915532.0,18996123014.3,12734202561.3
2017-12-27,'600582,天地科技,4.63,4.71,4.62,4.66,4.67,-0.04,-0.8565,0.404,11207623,52283861.0,19161666570.0,12845176004.1
2017-12-26,'600582,天地科技,4.67,4.68,4.55,4.6,4.6,0.07,1.5217,0.3808,10563855,48635567.0,19327210125.6,12956149446.9
2017-12-25,'600582,天地科技,4.6,4.72,4.57,4.69,4.67,-0.07,-1.4989,0.4015,11139008,51473483.0,19037508903.2,12761945922.0
2017-12-22,'600582,天地科技,4.67,4.72,4.64,4.65,4.66,0.01,0.2146,0.2751,7632121,35662442.0,19327210125.6,12956149446.9
2017-12-21,'600582,天地科技,4.66,4.67,4.59,4.64,4.65,0.01,0.2151,0.1798,4987578,23120221.0,19285824236.7,12928406086.2
2017-12-20,'600582,天地科技,4.65,4.72,4.61,4.68,4.7,-0.05,-1.0638,0.2739,7598570,35335888.0,19244438347.8,12900662725.5
2017-12-19,'600582,天地科技,4.7,4.78,4.67,4.7,4.71,-0.01,-0.2123,0.3627,10063530,47557282.0,19451367792.4,13039379529.0
2017-12-18,'600582,天地科技,4.71,4.72,4.58,4.6,4.6,0.11,2.3913,0.3974,11023914,51319656.0,19492753681.3,13067122889.7
2017-12-15,'600582,天地科技,4.6,4.67,4.58,4.66,4.64,-0.04,-0.8621,0.1919,5323504,24531810.0,19037508903.2,12761945922.0
2017-12-14,'600582,天地科技,4.64,4.68,4.55,4.58,4.56,0.08,1.7544,0.3002,8329150,38301653.0,19203052458.9,12872919364.8
2017-12-13,'600582,天地科技,4.56,4.6,4.54,4.58,4.57,-0.01,-0.2188,0.2528,7014557,32028296.0,18871965347.5,12650972479.2
2017-12-12,'600582,天地科技,4.57,4.63,4.55,4.6,4.58,-0.01,-0.2183,0.306,8488709,38987306.0,18913351236.4,12678715839.9
2017-12-11,'600582,天地科技,4.58,4.62,4.54,4.57,4.59,-0.01,-0.2179,0.3008,8345002,38308815.0,18954737125.4,12706459200.6
2017-12-08,'600582,天地科技,4.59,4.62,4.55,4.58,4.55,0.04,0.8791,0.2484,6891770,31614184.0,18996123014.3,12734202561.3
2017-12-07,'600582,天地科技,4.55,4.6,4.54,4.58,4.58,-0.03,-0.655,0.205,5686062,25996617.0,18830579458.6,12623229118.5
2017-12-06,'600582,天地科技,4.58,4.67,4.5,4.62,4.61,-0.03,-0.6508,0.3861,10711214,48999337.0,18954737125.4,12706459200.6
2017-12-05,'600582,天地科技,4.61,4.67,4.56,4.67,4.72,-0.11,-2.3305,0.5729,15892853,73177087.0,19078894792.1,12789689282.7
2017-12-04,'600582,天地科技,4.72,4.82,4.69,4.77,4.78,-0.06,-1.2552,0.4005,11110725,52800681.0,19534139570.2,13094866250.4
2017-12-01,'600582,天地科技,4.78,4.8,4.74,4.78,4.78,0.0,0.0,0.2134,5921692,28254236.0,19782454903.8,13261326414.6
2017-11-30,'600582,天地科技,4.78,4.85,4.75,4.82,4.85,-0.07,-1.4433,0.3201,8881801,42473017.0,19782454903.8,13261326414.6
2017-11-29,'600582,天地科技,4.85,4.88,4.66,4.66,4.69,0.16,3.4115,0.9678,26851092,128410033.0,20072156126.2,13455529939.5
2017-11-28,'600582,天地科技,4.69,4.71,4.58,4.6,4.61,0.08,1.7354,0.4501,12487476,58490125.0,19409981903.5,13011636168.3
2017-11-27,'600582,天地科技,4.61,4.74,4.61,4.67,4.7,-0.09,-1.9149,0.2608,7235126,33800472.0,19078894792.1,12789689282.7
2017-11-24,'600582,天地科技,4.7,4.73,4.53,4.55,4.57,0.13,2.8446,0.5768,16002906,74135364.0,19451367792.4,13039379529.0
2017-11-23,'600582,天地科技,4.57,4.61,4.53,4.58,4.59,-0.02,-0.4357,0.6423,17820009,81514605.0,18913351236.4,12678715839.9
2017-11-22,'600582,天地科技,4.59,4.61,4.54,4.58,4.58,0.01,0.2183,0.4382,12157875,55602341.0,18996123014.3,12734202561.3
2017-11-21,'600582,天地科技,4.58,4.61,4.53,4.57,4.58,0.0,0.0,0.4917,13641903,62336740.0,18954737125.4,12706459200.6
2017-11-20,'600582,天地科技,4.58,4.61,4.41,4.53,4.59,-0.01,-0.2179,0.8896,24679586,110782461.0,18954737125.4,12706459200.6
2017-11-17,'600582,天地科技,4.59,4.73,4.52,4.71,4.7,-0.11,-2.3404,0.9182,25475068,118073180.0,18996123014.3,12734202561.3
2017-11-16,'600582,天地科技,4.7,4.82,4.7,4.79,4.78,-0.08,-1.6736,0.4642,12878700,61108211.0,19451367792.4,13039379529.0
2017-11-15,'600582,天地科技,4.78,4.82,4.75,4.78,4.81,-0.03,-0.6237,0.3682,10215000,48806107.0,19782454903.8,13261326414.6
2017-11-14,'600582,天地科技,4.81,4.88,4.78,4.85,4.88,-0.07,-1.4344,0.6748,18721087,90171824.0,19906612570.5,13344556496.7
2017-11-13,'600582,天地科技,4.88,4.9,4.78,4.84,4.87,0.01,0.2053,0.7568,20996886,101805249.0,20196313793.0,13538760021.6
2017-11-10,'600582,天地科技,4.87,4.91,4.83,4.86,4.89,-0.02,-0.409,0.4663,12937845,62916758.0,20154927904.0,13511016660.9
2017-11-09,'600582,天地科技,4.89,4.93,4.83,4.83,4.85,0.04,0.8247,0.6252,17345502,84733423.0,20237699681.9,13566503382.3
2017-11-08,'600582,天地科技,4.85,4.9,4.83,4.86,4.89,-0.04,-0.818,0.5217,14474645,70406921.0,20072156126.2,13455529939.5
2017-11-07,'600582,天地科技,4.89,4.89,4.71,4.8,4.81,0.08,1.6632,0.7651,21226639,101883655.0,20237699681.9,13566503382.3
2017-11-06,'600582,天地科技,4.81,4.82,4.72,4.73,4.73,0.08,1.6913,0.4213,11688566,55626322.0,19906612570.5,13344556496.7
2017-11-03,'600582,天地科技,4.73,4.81,4.68,4.8,4.8,-0.07,-1.4583,0.628,17423516,82319222.0,19575525459.2,13122609611.1
2017-11-02,'600582,天地科技,4.8,4.9,4.78,4.89,4.88,-0.08,-1.6393,0.562,15590444,75103682.0,19865226681.6,13316813136.0
2017-11-01,'600582,天地科技,4.88,4.91,4.81,4.86,4.84,0.04,0.8264,0.7337,20354353,99259903.0,20196313793.0,13538760021.6
2017-10-31,'600582,天地科技,4.84,4.88,4.78,4.84,4.83,0.01,0.207,0.6359,17642625,85150792.0,20030770237.3,13427786578.8
2017-10-30,'600582,天地科技,4.83,4.95,4.75,4.9,4.98,-0.15,-3.012,1.2417,34448127,166320914.0,19989384348.4,13400043218.1
2017-10-27,'600582,天地科技,4.98,5.09,4.96,5.07,5.07,-0.09,-1.7751,0.5563,15433366,77108644.0,20610172682.2,13816193628.6
2017-10-26,'600582,天地科技,5.07,5.08,5.01,5.03,5.03,0.04,0.7952,0.6273,17403376,87637118.0,20982645682.4,14065883874.9
2017-10-25,'600582,天地科技,5.03,5.07,4.99,5.04,5.04,-0.01,-0.1984,0.3688,10231827,51389246.0,20817102126.8,13954910432.1
2017-10-24,'600582,天地科技,5.04,5.06,4.99,5.04,5.03,0.01,0.1988,0.2781,7714374,38713615.0,20858488015.7,13982653792.8
2017-10-23,'600582,天地科技,5.03,5.03,4.94,4.98,4.98,0.05,1.004,0.3551,9852022,49217769.0,20817102126.8,13954910432.1
2017-10-20,'600582,天地科技,4.98,5.02,4.96,5.0,5.0,-0.02,-0.4,0.5003,13881289,69222736.0,20610172682.2,13816193628.6
2017-10-19,'600582,天地科技,5.0,5.08,4.99,5.07,5.07,-0.07,-1.3807,0.4416,12251972,61502633.0,20692944460.0,13871680350.0
2017-10-18,'600582,天地科技,5.07,5.13,5.06,5.08,5.09,-0.02,-0.3929,0.378,10487724,53416158.0,20982645682.4,14065883874.9
2017-10-17,'600582,天地科技,5.09,5.17,5.05,5.08,5.1,-0.01,-0.1961,0.4125,11443888,58413853.0,21065417460.3,14121370596.3
2017-10-16,'600582,天地科技,5.1,5.35,5.07,5.29,5.3,-0.2,-3.7736,0.9728,26988795,139926028.0,21106803349.2,14149113957.0
2017-10-13,'600582,天地科技,5.3,5.34,5.11,5.15,5.14,0.16,3.1128,0.9201,25526767,133949335.0,21934521127.6,14703981171.0
2017-10-12,'600582,天地科技,5.14,5.22,5.1,5.19,5.22,-0.08,-1.5326,0.6082,16872949,87043010.0,21272346904.9,14260087399.8
2017-10-11,'600582,天地科技,5.22,5.23,5.16,5.23,5.23,-0.01,-0.1912,0.4404,12219217,63444953.0,21603434016.2,14482034285.4
2017-10-10,'600582,天地科技,5.23,5.25,5.13,5.2,5.2,0.03,0.5769,0.8117,22518704,117030953.0,21644819905.2,14509777646.1
2017-10-09,'600582,天地科技,5.2,5.27,5.15,5.24,5.19,0.01,0.1927,0.8588,23827246,123914880.0,21520662238.4,14426547564.0
2017-09-29,'600582,天地科技,5.19,5.22,5.03,5.03,5.03,0.16,3.1809,1.1276,31284092,161167308.0,21479276349.5,14398804203.3
2017-09-28,'600582,天地科技,5.03,5.08,4.98,4.98,4.99,0.04,0.8016,0.515,14286701,71996584.0,20817102126.8,13954910432.1
2017-09-27,'600582,天地科技,4.99,5.02,4.97,4.98,4.99,0.0,0.0,0.3658,10148729,50704540.0,20651558571.1,13843936989.3
2017-09-26,'600582,天地科技,4.99,5.02,4.87,4.95,4.94,0.05,1.0121,0.629,17451497,86480188.0,20651558571.1,13843936989.3
2017-09-25,'600582,天地科技,4.94,4.98,4.92,4.93,4.94,0.0,0.0,0.4079,11317667,55984125.0,20444629126.5,13705220185.8
2017-09-22,'600582,天地科技,4.94,5.03,4.91,5.01,5.04,-0.1,-1.9841,0.8362,23197840,115379033.0,20444629126.5,13705220185.8
2017-09-21,'600582,天地科技,5.04,5.15,5.02,5.05,5.07,-0.03,-0.5917,0.6577,18248034,92896401.0,20858488015.7,13982653792.8
2017-09-20,'600582,天地科技,5.07,5.1,4.96,5.01,5.01,0.06,1.1976,0.7995,22179950,111807923.0,20982645682.4,14065883874.9
2017-09-19,'600582,天地科技,5.01,5.04,4.98,5.02,5.02,-0.01,-0.1992,0.6235,17297164,86474033.0,20734330348.9,13899423710.7
2017-09-18,'600582,天地科技,5.02,5.04,4.96,5.01,5.02,0.0,0.0,1.0435,28951345,144885776.0,20775716237.8,13927167071.4
2017-09-15,'600582,天地科技,5.02,5.19,4.96,5.19,5.19,-0.17,-3.2755,1.7493,48530776,244268087.0,20775716237.8,13927167071.4
2017-09-14,'600582,天地科技,5.19,5.23,5.16,5.19,5.19,0.0,0.0,0.7795,21626631,112140675.0,21479276349.5,14398804203.3
2017-09-13,'600582,天地科技,5.19,5.23,5.12,5.2,5.22,-0.03,-0.5747,0.7322,20313468,105010647.0,21479276349.5,14398804203.3
