日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-29,'601857,中国石油,8.09,8.13,8.05,8.06,8.06,0.03,0.3722,0.0147,23867187,193083877.0,1.48063971055e+12,1.30994960955e+12
2017-12-28,'601857,中国石油,8.06,8.12,8.02,8.07,8.09,-0.03,-0.3708,0.0155,25125826,202762590.0,1.47514908121e+12,1.30509194721e+12
2017-12-27,'601857,中国石油,8.09,8.18,8.08,8.09,8.07,0.02,0.2478,0.0231,37452602,304450028.0,1.48063971055e+12,1.30994960955e+12
2017-12-26,'601857,中国石油,8.07,8.09,8.01,8.02,8.04,0.03,0.3731,0.0122,19729541,159039408.0,1.47697929099e+12,1.30671116799e+12
2017-12-25,'601857,中国石油,8.04,8.12,8.01,8.08,8.09,-0.05,-0.618,0.013,21008030,169164792.0,1.47148866166e+12,1.30185350566e+12
2017-12-22,'601857,中国石油,8.09,8.12,7.95,7.99,7.98,0.11,1.3784,0.0262,42492964,342894030.0,1.48063971055e+12,1.30994960955e+12
2017-12-21,'601857,中国石油,7.98,8.0,7.89,7.94,7.94,0.04,0.5038,0.0161,26014290,207253191.0,1.46050740299e+12,1.29213818099e+12
2017-12-20,'601857,中国石油,7.94,7.96,7.9,7.93,7.89,0.05,0.6337,0.0159,25688726,203894324.0,1.45318656387e+12,1.28566129787e+12
2017-12-19,'601857,中国石油,7.89,7.91,7.86,7.88,7.88,0.01,0.1269,0.0102,16446764,129744448.0,1.44403551498e+12,1.27756519398e+12
2017-12-18,'601857,中国石油,7.88,7.9,7.84,7.87,7.87,0.01,0.1271,0.0129,20861342,164226024.0,1.44220530521e+12,1.27594597321e+12
2017-12-15,'601857,中国石油,7.87,7.94,7.86,7.94,7.94,-0.07,-0.8816,0.0173,28084231,221702480.0,1.44037509543e+12,1.27432675243e+12
2017-12-14,'601857,中国石油,7.94,8.04,7.91,8.03,8.02,-0.08,-0.9975,0.0248,40182442,319916463.0,1.45318656387e+12,1.28566129787e+12
2017-12-13,'601857,中国石油,8.02,8.05,8.0,8.01,8.02,0.0,0.0,0.0152,24574783,197199405.0,1.4678282421e+12,1.2986150641e+12
2017-12-12,'601857,中国石油,8.02,8.12,8.0,8.1,8.09,-0.07,-0.8653,0.0191,30919232,249621468.0,1.4678282421e+12,1.2986150641e+12
2017-12-11,'601857,中国石油,8.09,8.14,8.05,8.06,8.06,0.03,0.3722,0.0188,30388336,246045812.0,1.48063971055e+12,1.30994960955e+12
