日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-29,'600785,新华百货,20.99,21.4,20.9,20.9,20.98,0.01,0.0477,0.14,315955,6671220.0,4736000567.2,4736000567.2
2017-12-28,'600785,新华百货,20.98,21.15,20.5,21.1,21.17,-0.19,-0.8975,0.1668,376314,7863656.0,4733744254.4,4733744254.4
2017-12-27,'600785,新华百货,21.17,21.48,21.05,21.48,21.63,-0.46,-2.1267,0.2228,502605,10669066.0,4776614197.6,4776614197.6
2017-12-26,'600785,新华百货,21.63,21.93,21.15,21.93,21.93,-0.3,-1.368,0.2841,641046,13742591.0,4880404586.4,4880404586.4
2017-12-25,'600785,新华百货,21.93,22.1,21.5,21.5,21.33,0.6,2.8129,0.6118,1380361,30258506.0,4948093970.4,4948093970.4
2017-12-22,'600785,新华百货,21.33,21.7,21.05,21.65,21.37,-0.04,-0.1872,0.2072,467572,9930950.0,4812715202.4,4812715202.4
2017-12-21,'600785,新华百货,21.37,21.47,20.71,21.18,21.36,0.01,0.0468,0.3454,779315,16425253.0,4821740453.6,4821740453.6
2017-12-20,'600785,新华百货,21.36,21.79,21.0,21.15,21.47,-0.11,-0.5123,0.6238,1407391,30190266.0,4819484140.8,4819484140.8
2017-12-19,'600785,新华百货,21.47,21.6,20.0,20.0,20.0,1.47,7.35,0.7923,1787712,37361007.0,4844303581.6,4844303581.6
2017-12-18,'600785,新华百货,20.0,21.19,19.89,21.08,20.95,-0.95,-4.5346,0.3125,705093,14262588.0,4512625600.0,4512625600.0
2017-12-15,'600785,新华百货,20.95,21.28,20.26,20.45,20.47,0.48,2.3449,0.5169,1166349,24274674.0,4726975316.0,4726975316.0
2017-12-14,'600785,新华百货,20.47,20.89,19.5,19.5,19.66,0.81,4.12,0.4345,980469,19917450.0,4618672301.6,4618672301.6
2017-12-13,'600785,新华百货,19.66,19.71,19.45,19.45,19.59,0.07,0.3573,0.0862,194462,3816080.0,4435910964.8,4435910964.8
2017-12-12,'600785,新华百货,19.59,19.73,19.41,19.5,19.62,-0.03,-0.1529,0.1325,298874,5867876.0,4420116775.2,4420116775.2
2017-12-11,'600785,新华百货,19.62,19.77,19.36,19.5,19.46,0.16,0.8222,0.1328,299656,5867203.0,4426885713.6,4426885713.6
2017-12-08,'600785,新华百货,19.46,19.78,19.11,19.4,19.24,0.22,1.1435,0.1646,371419,7231708.0,4390784708.8,4390784708.8
2017-12-07,'600785,新华百货,19.24,19.5,19.16,19.4,19.4,-0.16,-0.8247,0.1013,228454,4404413.0,4341145827.2,4341145827.2
2017-12-06,'600785,新华百货,19.4,19.7,19.0,19.69,19.8,-0.4,-2.0202,0.2377,536233,10319835.0,4377246832.0,4377246832.0
2017-12-05,'600785,新华百货,19.8,20.24,19.7,20.24,20.24,-0.44,-2.1739,0.1272,286996,5703281.0,4467499344.0,4467499344.0
2017-12-04,'600785,新华百货,20.24,20.33,20.15,20.15,20.31,-0.07,-0.3447,0.0804,181317,3668444.0,4566777107.2,4566777107.2
2017-12-01,'600785,新华百货,20.31,20.39,20.12,20.3,20.31,0.0,0.0,0.1026,231586,4699845.0,4582571296.8,4582571296.8
2017-11-30,'600785,新华百货,20.31,20.66,19.93,20.02,20.06,0.25,1.2463,0.2035,459110,9308001.0,4582571296.8,4582571296.8
2017-11-29,'600785,新华百货,20.06,20.2,19.9,19.98,20.02,0.04,0.1998,0.095,214357,4292433.0,4526163476.8,4526163476.8
2017-11-28,'600785,新华百货,20.02,20.09,19.88,19.91,19.9,0.12,0.603,0.1481,334117,6674506.0,4517138225.6,4517138225.6
2017-11-27,'600785,新华百货,19.9,20.2,19.9,20.2,20.22,-0.32,-1.5826,0.092,207570,4159757.0,4490062472.0,4490062472.0
2017-11-24,'600785,新华百货,20.22,20.34,20.09,20.11,20.11,0.11,0.547,0.0909,205062,4148949.0,4562264481.6,4562264481.6
