хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2017-12-29,'601872,упилбж╢╛,4.39,4.4,4.34,4.35,4.34,0.05,1.1521,0.1366,6449323,28181151.0,23264621111.7,20724846741.5
2017-12-28,'601872,упилбж╢╛,4.34,4.37,4.32,4.35,4.35,-0.01,-0.2299,0.1447,6830891,29707583.0,22999648206.1,20488800651.1
2017-12-27,'601872,упилбж╢╛,4.35,4.4,4.33,4.39,4.4,-0.05,-1.1364,0.1486,7013208,30635029.0,23052642787.2,20536009869.2
2017-12-26,'601872,упилбж╢╛,4.4,4.42,4.35,4.41,4.44,-0.04,-0.9009,0.2083,9833380,43106152.0,23317615692.8,20772055959.6
2017-12-25,'601872,упилбж╢╛,4.44,4.62,4.44,4.5,4.48,-0.04,-0.8929,0.3346,15797305,71412064.0,23529594017.3,20960892832.0
2017-12-22,'601872,упилбж╢╛,0.0,0.0,0.0,0.0,4.48,None,None,0.0,0,0.0,23741572341.8,21149729704.3
2017-12-21,'601872,упилбж╢╛,0.0,0.0,0.0,0.0,4.48,None,None,0.0,0,0.0,23741572341.8,21149729704.3
2017-12-20,'601872,упилбж╢╛,0.0,0.0,0.0,0.0,4.48,None,None,0.0,0,0.0,23741572341.8,21149729704.3
2017-12-19,'601872,упилбж╢╛,0.0,0.0,0.0,0.0,4.48,None,None,0.0,0,0.0,23741572341.8,21149729704.3
2017-12-18,'601872,упилбж╢╛,0.0,0.0,0.0,0.0,4.48,None,None,0.0,0,0.0,23741572341.8,21149729704.3
2017-12-15,'601872,упилбж╢╛,0.0,0.0,0.0,0.0,4.48,None,None,0.0,0,0.0,23741572341.8,21149729704.3
2017-12-14,'601872,упилбж╢╛,0.0,0.0,0.0,0.0,4.48,None,None,0.0,0,0.0,23741572341.8,21149729704.3
2017-12-13,'601872,упилбж╢╛,4.48,4.48,4.43,4.45,4.44,0.04,0.9009,0.1123,5303665,23617777.0,23741572341.8,21149729704.3
2017-12-12,'601872,упилбж╢╛,4.44,4.49,4.42,4.47,4.48,-0.04,-0.8929,0.1193,5630774,25087504.0,23529594017.3,20960892832.0
2017-12-11,'601872,упилбж╢╛,4.48,4.48,4.39,4.4,4.41,0.07,1.5873,0.2078,9811361,43690055.0,23741572341.8,21149729704.3
