ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2017-12-29,'600789,Â³¿¹Ò½Ò©,7.95,8.07,7.84,7.9,7.81,0.14,1.7926,2.2921,13330488,105803926.0,4623525026.25,4623525026.25
2017-12-28,'600789,Â³¿¹Ò½Ò©,7.81,7.91,7.64,7.71,7.71,0.1,1.297,1.9931,11591577,90314904.0,4542104459.75,4542104459.75
2017-12-27,'600789,Â³¿¹Ò½Ò©,7.71,7.92,7.51,7.52,7.54,0.17,2.2546,2.377,13824253,107180899.0,4483946912.25,4483946912.25
2017-12-26,'600789,Â³¿¹Ò½Ò©,7.54,7.54,7.41,7.42,7.46,0.08,1.0724,0.9181,5339438,40002523.0,4385079081.5,4385079081.5
2017-12-25,'600789,Â³¿¹Ò½Ò©,7.46,7.47,7.34,7.38,7.38,0.08,1.084,0.8588,4994557,37028147.0,4338553043.5,4338553043.5
2017-12-22,'600789,Â³¿¹Ò½Ò©,7.38,7.44,7.31,7.33,7.39,-0.01,-0.1353,0.4926,2865100,21143300.0,4292027005.5,4292027005.5
2017-12-21,'600789,Â³¿¹Ò½Ò©,7.39,7.41,7.29,7.41,7.41,-0.02,-0.2699,0.4956,2882019,21210156.0,4297842760.25,4297842760.25
2017-12-20,'600789,Â³¿¹Ò½Ò©,7.41,7.55,7.39,7.55,7.54,-0.13,-1.7241,0.5091,2960601,22061524.0,4309474269.75,4309474269.75
2017-12-19,'600789,Â³¿¹Ò½Ò©,7.54,7.54,7.5,7.52,7.52,0.02,0.266,0.4383,2548802,19168798.0,4385079081.5,4385079081.5
2017-12-18,'600789,Â³¿¹Ò½Ò©,7.52,7.54,7.46,7.47,7.47,0.05,0.6693,0.437,2541203,19050167.0,4373447572.0,4373447572.0
2017-12-15,'600789,Â³¿¹Ò½Ò©,7.47,7.52,7.4,7.48,7.52,-0.05,-0.6649,0.4935,2870105,21432008.0,4344368798.25,4344368798.25
2017-12-14,'600789,Â³¿¹Ò½Ò©,7.52,7.56,7.47,7.53,7.59,-0.07,-0.9223,0.5734,3334714,25042620.0,4373447572.0,4373447572.0
2017-12-13,'600789,Â³¿¹Ò½Ò©,7.59,7.65,7.44,7.47,7.44,0.15,2.0161,0.7028,4087340,30818690.0,4414157855.25,4414157855.25
2017-12-12,'600789,Â³¿¹Ò½Ò©,7.44,7.54,7.43,7.53,7.52,-0.08,-1.0638,0.4567,2655900,19874317.0,4326921534.0,4326921534.0
2017-12-11,'600789,Â³¿¹Ò½Ò©,7.52,7.55,7.42,7.46,7.46,0.06,0.8043,0.5961,3466819,26000903.0,4373447572.0,4373447572.0
2017-12-08,'600789,Â³¿¹Ò½Ò©,7.46,7.49,7.36,7.4,7.4,0.06,0.8108,0.5121,2978318,22150425.0,4338553043.5,4338553043.5
2017-12-07,'600789,Â³¿¹Ò½Ò©,7.4,7.46,7.38,7.45,7.44,-0.04,-0.5376,0.4488,2610011,19361890.0,4303658515.0,4303658515.0
2017-12-06,'600789,Â³¿¹Ò½Ò©,7.44,7.45,7.26,7.34,7.35,0.09,1.2245,0.5463,3177134,23369800.0,4326921534.0,4326921534.0
2017-12-05,'600789,Â³¿¹Ò½Ò©,7.35,7.64,7.28,7.6,7.62,-0.27,-3.5433,0.9457,5499779,40974390.0,4274579741.25,4274579741.25
2017-12-04,'600789,Â³¿¹Ò½Ò©,7.62,7.71,7.6,7.7,7.72,-0.1,-1.2953,0.4825,2806001,21512033.0,4431605119.5,4431605119.5
2017-12-01,'600789,Â³¿¹Ò½Ò©,7.72,7.75,7.67,7.71,7.71,0.01,0.1297,0.4546,2643771,20423400.0,4489762667.0,4489762667.0
2017-11-30,'600789,Â³¿¹Ò½Ò©,7.71,7.77,7.66,7.7,7.69,0.02,0.2601,0.6367,3703122,28530240.0,4483946912.25,4483946912.25
2017-11-29,'600789,Â³¿¹Ò½Ò©,7.69,7.7,7.6,7.63,7.64,0.05,0.6545,0.5472,3182420,24346857.0,4472315402.75,4472315402.75
2017-11-28,'600789,Â³¿¹Ò½Ò©,7.64,7.65,7.55,7.58,7.58,0.06,0.7916,0.3767,2190700,16675975.0,4443236629.0,4443236629.0
2017-11-27,'600789,Â³¿¹Ò½Ò©,7.58,7.71,7.55,7.59,7.61,-0.03,-0.3942,0.4655,2707200,20639778.0,4408342100.5,4408342100.5
2017-11-24,'600789,Â³¿¹Ò½Ò©,7.61,7.65,7.5,7.53,7.5,0.11,1.4667,0.5584,3247499,24609881.0,4425789364.75,4425789364.75
2017-11-23,'600789,Â³¿¹Ò½Ò©,7.5,7.78,7.48,7.74,7.74,-0.24,-3.1008,0.835,4855919,37026164.0,4361816062.5,4361816062.5
2017-11-22,'600789,Â³¿¹Ò½Ò©,7.74,7.83,7.72,7.78,7.85,-0.11,-1.4013,0.7723,4491764,34874329.0,4501394176.5,4501394176.5
2017-11-21,'600789,Â³¿¹Ò½Ò©,7.85,7.95,7.58,7.61,7.67,0.18,2.3468,1.2522,7282398,56585241.0,4565367478.75,4565367478.75
2017-11-20,'600789,Â³¿¹Ò½Ò©,7.67,7.68,7.5,7.55,7.56,0.11,1.455,0.6892,4008219,30443752.0,4460683893.25,4460683893.25
2017-11-17,'600789,Â³¿¹Ò½Ò©,7.56,7.91,7.53,7.87,7.91,-0.35,-4.4248,1.2536,7290605,56165555.0,4396710591.0,4396710591.0
2017-11-16,'600789,Â³¿¹Ò½Ò©,7.91,7.96,7.9,7.96,7.95,-0.04,-0.5031,0.5269,3064300,24285495.0,4600262007.25,4600262007.25
2017-11-15,'600789,Â³¿¹Ò½Ò©,7.95,8.03,7.9,8.03,8.03,-0.08,-0.9963,0.6917,4022512,31951936.0,4623525026.25,4623525026.25
2017-11-14,'600789,Â³¿¹Ò½Ò©,8.03,8.09,7.99,8.03,8.01,0.02,0.2497,0.7439,4326414,34766913.0,4670051064.25,4670051064.25
2017-11-13,'600789,Â³¿¹Ò½Ò©,8.01,8.1,7.97,8.1,8.06,-0.05,-0.6203,0.8626,5016759,40243193.0,4658419554.75,4658419554.75
2017-11-10,'600789,Â³¿¹Ò½Ò©,8.06,8.11,8.04,8.1,8.12,-0.06,-0.7389,0.6874,3997510,32233649.0,4687498328.5,4687498328.5
2017-11-09,'600789,Â³¿¹Ò½Ò©,8.12,8.14,8.07,8.12,8.1,0.02,0.2469,0.7515,4370602,35448952.0,4722392857.0,4722392857.0
2017-11-08,'600789,Â³¿¹Ò½Ò©,8.1,8.17,8.04,8.1,8.09,0.01,0.1236,0.8717,5069480,41153490.0,4710761347.5,4710761347.5
2017-11-07,'600789,Â³¿¹Ò½Ò©,8.09,8.1,8.02,8.05,8.08,0.01,0.1238,0.6591,3832990,30882292.0,4704945592.75,4704945592.75
2017-11-06,'600789,Â³¿¹Ò½Ò©,8.08,8.09,7.88,7.95,7.98,0.1,1.2531,0.892,5187928,41401536.0,4699129838.0,4699129838.0
2017-11-03,'600789,Â³¿¹Ò½Ò©,7.98,8.35,7.92,7.92,7.89,0.09,1.1407,1.4703,8550709,69060634.0,4640972290.5,4640972290.5
2017-11-02,'600789,Â³¿¹Ò½Ò©,7.89,8.02,7.87,8.0,8.04,-0.15,-1.8657,1.4281,8305619,65861196.0,4588630497.75,4588630497.75
2017-11-01,'600789,Â³¿¹Ò½Ò©,8.04,8.1,8.0,8.09,8.08,-0.04,-0.495,0.8504,4945957,39720672.0,4675866819.0,4675866819.0
2017-10-31,'600789,Â³¿¹Ò½Ò©,8.08,8.09,7.96,8.04,8.05,0.03,0.3727,0.8431,4903418,39409627.0,4699129838.0,4699129838.0
2017-10-30,'600789,Â³¿¹Ò½Ò©,8.05,8.34,7.9,8.33,8.32,-0.27,-3.2452,1.3982,8131548,65547073.0,4681682573.75,4681682573.75
2017-10-27,'600789,Â³¿¹Ò½Ò©,8.32,8.39,8.29,8.38,8.38,-0.06,-0.716,0.7918,4604902,38376565.0,4838707952.0,4838707952.0
2017-10-26,'600789,Â³¿¹Ò½Ò©,8.38,8.41,8.31,8.31,8.36,0.02,0.2392,0.9841,5723079,47935304.0,4873602480.5,4873602480.5
2017-10-25,'600789,Â³¿¹Ò½Ò©,8.36,8.36,8.25,8.34,8.34,0.02,0.2398,0.9971,5798602,48198969.0,4861970971.0,4861970971.0
2017-10-24,'600789,Â³¿¹Ò½Ò©,8.34,8.45,8.25,8.39,8.39,-0.05,-0.5959,1.0308,5994800,50013901.0,4850339461.5,4850339461.5
2017-10-23,'600789,Â³¿¹Ò½Ò©,8.39,8.4,8.27,8.3,8.29,0.1,1.2063,0.8637,5022778,41921718.0,4879418235.25,4879418235.25
2017-10-20,'600789,Â³¿¹Ò½Ò©,8.29,8.3,8.18,8.25,8.22,0.07,0.8516,0.854,4966731,41014292.0,4821260687.75,4821260687.75
2017-10-19,'600789,Â³¿¹Ò½Ò©,8.22,8.46,8.19,8.41,8.38,-0.16,-1.9093,1.8226,10599539,87995802.0,4780550404.5,4780550404.5
2017-10-18,'600789,Â³¿¹Ò½Ò©,8.38,8.57,8.38,8.51,8.51,-0.13,-1.5276,1.4233,8277654,70155559.0,4873602480.5,4873602480.5
2017-10-17,'600789,Â³¿¹Ò½Ò©,8.51,8.61,8.47,8.58,8.57,-0.06,-0.7001,1.6326,9494796,80918732.0,4949207292.25,4949207292.25
2017-10-16,'600789,Â³¿¹Ò½Ò©,8.57,8.9,8.55,8.89,8.88,-0.31,-3.491,2.717,15801488,137197620.0,4984101820.75,4984101820.75
2017-10-13,'600789,Â³¿¹Ò½Ò©,8.88,8.92,8.79,8.85,8.85,0.03,0.339,2.3877,13886413,123073519.0,5164390218.0,5164390218.0
2017-10-12,'600789,Â³¿¹Ò½Ò©,8.85,8.89,8.75,8.81,8.81,0.04,0.454,2.5797,15002853,132344824.0,5146942953.75,5146942953.75
2017-10-11,'600789,Â³¿¹Ò½Ò©,8.81,9.04,8.78,8.92,8.88,-0.07,-0.7883,3.8539,22413245,199364805.0,5123679934.75,5123679934.75
2017-10-10,'600789,Â³¿¹Ò½Ò©,8.88,8.93,8.66,8.68,8.68,0.2,2.3041,5.003,29096504,257441177.0,5164390218.0,5164390218.0
2017-10-09,'600789,Â³¿¹Ò½Ò©,8.68,8.73,8.61,8.65,8.59,0.09,1.0477,2.0879,12142703,105122107.0,5048075123.0,5048075123.0
2017-09-29,'600789,Â³¿¹Ò½Ò©,8.59,8.63,8.53,8.53,8.56,0.03,0.3505,1.4882,8655003,74361129.0,4995733330.25,4995733330.25
2017-09-28,'600789,Â³¿¹Ò½Ò©,8.56,8.74,8.55,8.71,8.74,-0.18,-2.0595,2.5402,14773301,127598238.0,4978286066.0,4978286066.0
2017-09-27,'600789,Â³¿¹Ò½Ò©,8.74,8.79,8.65,8.76,8.74,0.0,0.0,2.5568,14869485,129322806.0,5082969651.5,5082969651.5
2017-09-26,'600789,Â³¿¹Ò½Ò©,8.74,8.85,8.62,8.85,8.96,-0.22,-2.4554,4.3685,25406237,222126628.0,5082969651.5,5082969651.5
