����,��Ʊ����,����,���̼�,��߼�,��ͼ�,���̼�,ǰ����,�ǵ���,�ǵ���,������,�ɽ���,�ɽ����,����ֵ,��ͨ��ֵ
2017-12-29,'600567,ɽӥֽҵ,4.34,4.35,4.26,4.27,4.27,0.07,1.6393,0.76,34590386,149273762.0,19752439482.6,19752439482.6
2017-12-28,'600567,ɽӥֽҵ,4.27,4.29,4.21,4.28,4.29,-0.02,-0.4662,0.8514,38747897,164814989.0,19433851749.0,19433851749.0
2017-12-27,'600567,ɽӥֽҵ,4.29,4.34,4.26,4.3,4.31,-0.02,-0.464,1.3196,60060240,257974944.0,19524876815.7,19524876815.7
2017-12-26,'600567,ɽӥֽҵ,4.31,4.32,4.25,4.29,4.29,0.02,0.4662,1.0142,46158311,198454171.0,19615901882.5,19615901882.5
2017-12-25,'600567,ɽӥֽҵ,4.29,4.43,4.27,4.38,4.39,-0.1,-2.2779,1.0781,49066681,213803442.0,19524876815.7,19524876815.7
2017-12-22,'600567,ɽӥֽҵ,4.39,4.43,4.31,4.32,4.33,0.06,1.3857,1.3085,59554984,261173020.0,19980002149.4,19980002149.4
2017-12-21,'600567,ɽӥֽҵ,4.33,4.35,4.25,4.3,4.26,0.07,1.6432,1.0475,47676605,205041107.0,19706926949.2,19706926949.2
2017-12-20,'600567,ɽӥֽҵ,4.26,4.36,4.23,4.35,4.36,-0.1,-2.2936,0.9864,44892388,192825554.0,19388339215.6,19388339215.6
2017-12-19,'600567,ɽӥֽҵ,4.36,4.37,4.29,4.3,4.3,0.06,1.3953,0.6961,31679679,137251182.0,19843464549.3,19843464549.3
2017-12-18,'600567,ɽӥֽҵ,4.3,4.41,4.28,4.38,4.38,-0.08,-1.8265,0.7186,32707090,141404948.0,19570389349.1,19570389349.1
2017-12-15,'600567,ɽӥֽҵ,4.38,4.48,4.36,4.4,4.41,-0.03,-0.6803,1.0879,49512122,219048081.0,19934489616.1,19934489616.1
2017-12-14,'600567,ɽӥֽҵ,4.41,4.43,4.35,4.39,4.4,0.01,0.2273,0.7892,35917116,157944130.0,20071027216.2,20071027216.2
2017-12-13,'600567,ɽӥֽҵ,4.4,4.42,4.32,4.4,4.41,-0.01,-0.2268,0.7852,35736628,156257458.0,20025514682.8,20025514682.8
2017-12-12,'600567,ɽӥֽҵ,4.41,4.48,4.39,4.45,4.43,-0.02,-0.4515,0.8872,40379246,178800029.0,20071027216.2,20071027216.2
2017-12-11,'600567,ɽӥֽҵ,4.43,4.44,4.38,4.39,4.39,0.04,0.9112,1.0157,46227335,203807756.0,20162052282.9,20162052282.9
2017-12-08,'600567,ɽӥֽҵ,4.39,4.39,4.29,4.33,4.31,0.08,1.8561,0.644,29308714,127693890.0,19980002149.4,19980002149.4
2017-12-07,'600567,ɽӥֽҵ,4.31,4.4,4.29,4.4,4.39,-0.08,-1.8223,0.7212,32825590,142278774.0,19615901882.5,19615901882.5
2017-12-06,'600567,ɽӥֽҵ,4.39,4.4,4.28,4.32,4.36,0.03,0.6881,0.6757,30754210,133130144.0,19980002149.4,19980002149.4
2017-12-05,'600567,ɽӥֽҵ,4.36,4.46,4.33,4.45,4.47,-0.11,-2.4609,1.0348,47094190,205810758.0,19843464549.3,19843464549.3
2017-12-04,'600567,ɽӥֽҵ,4.47,4.55,4.46,4.49,4.5,-0.03,-0.6667,1.1181,50886002,228645335.0,20344102416.4,20344102416.4
2017-12-01,'600567,ɽӥֽҵ,4.5,4.59,4.48,4.52,4.5,0.0,0.0,0.9972,45385749,204897851.0,20480640016.5,20480640016.5
2017-11-30,'600567,ɽӥֽҵ,4.5,4.66,4.48,4.54,4.59,-0.09,-1.9608,1.6484,75022014,341797316.0,20480640016.5,20480640016.5
2017-11-29,'600567,ɽӥֽҵ,4.59,4.6,4.33,4.34,4.35,0.24,5.5172,2.211,100628878,455314716.0,20890252816.8,20890252816.8
2017-11-28,'600567,ɽӥֽҵ,4.35,4.35,4.21,4.22,4.23,0.12,2.8369,0.9598,43681094,187730263.0,19797952016.0,19797952016.0
2017-11-27,'600567,ɽӥֽҵ,4.23,4.27,4.22,4.26,4.27,-0.04,-0.9368,0.6232,28363663,120399269.0,19251801615.5,19251801615.5
2017-11-24,'600567,ɽӥֽҵ,4.27,4.31,4.21,4.29,4.3,-0.03,-0.6977,0.7133,32465922,138416662.0,19433851749.0,19433851749.0
2017-11-23,'600567,ɽӥֽҵ,4.3,4.41,4.28,4.37,4.38,-0.08,-1.8265,0.9029,41093353,179058913.0,19570389349.1,19570389349.1
2017-11-22,'600567,ɽӥֽҵ,4.38,4.4,4.25,4.34,4.33,0.05,1.1547,1.0438,47505658,206564577.0,19934489616.1,19934489616.1
2017-11-21,'600567,ɽӥֽҵ,4.33,4.4,4.28,4.31,4.34,-0.01,-0.2304,1.1224,51085265,221906984.0,19706926949.2,19706926949.2
2017-11-20,'600567,ɽӥֽҵ,4.34,4.41,4.2,4.41,4.43,-0.09,-2.0316,1.2441,56620650,242655653.0,19752439482.6,19752439482.6
2017-11-17,'600567,ɽӥֽҵ,4.43,4.55,4.41,4.51,4.54,-0.11,-2.4229,1.1017,50140844,224344801.0,20162052282.9,20162052282.9
2017-11-16,'600567,ɽӥֽҵ,4.54,4.64,4.45,4.57,4.57,-0.03,-0.6565,1.035,47103911,214653627.0,20662690150.0,20662690150.0
2017-11-15,'600567,ɽӥֽҵ,4.57,4.69,4.53,4.65,4.68,-0.11,-2.3504,1.2475,56776914,260182409.0,20799227750.1,20799227750.1
2017-11-14,'600567,ɽӥֽҵ,4.68,4.72,4.56,4.57,4.6,0.08,1.7391,1.6591,75509607,352660084.0,21299865617.2,21299865617.2
2017-11-13,'600567,ɽӥֽҵ,4.6,4.62,4.43,4.51,4.5,0.1,2.2222,1.5857,72168030,325964806.0,20935765350.2,20935765350.2
2017-11-10,'600567,ɽӥֽҵ,4.5,4.57,4.45,4.56,4.54,-0.04,-0.8811,1.1012,50116478,225599700.0,20480640016.5,20480640016.5
2017-11-09,'600567,ɽӥֽҵ,4.54,4.63,4.5,4.59,4.59,-0.05,-1.0893,1.0085,45901627,208896790.0,20662690150.0,20662690150.0
2017-11-08,'600567,ɽӥֽҵ,4.59,4.64,4.52,4.54,4.58,0.01,0.2183,1.0437,47501071,218121604.0,20890252816.8,20890252816.8
2017-11-07,'600567,ɽӥֽҵ,4.58,4.62,4.47,4.55,4.59,-0.01,-0.2179,1.2109,55112995,250746939.0,20844740283.5,20844740283.5
2017-11-06,'600567,ɽӥֽҵ,4.59,4.59,4.41,4.55,4.57,0.02,0.4376,1.417,64489253,290223852.0,20890252816.8,20890252816.8
2017-11-03,'600567,ɽӥֽҵ,4.57,4.77,4.49,4.75,4.75,-0.18,-3.7895,2.4662,112241736,513880819.0,20799227750.1,20799227750.1
2017-11-02,'600567,ɽӥֽҵ,4.75,4.82,4.73,4.8,4.77,-0.02,-0.4193,0.9529,43370140,206875469.0,21618453350.8,21618453350.8
2017-11-01,'600567,ɽӥֽҵ,4.77,4.85,4.73,4.84,4.83,-0.06,-1.2422,1.0551,48019975,230647304.0,21709478417.5,21709478417.5
2017-10-31,'600567,ɽӥֽҵ,4.83,4.84,4.73,4.79,4.79,0.04,0.8351,0.8537,38853255,186575820.0,21982553617.7,21982553617.7
2017-10-30,'600567,ɽӥֽҵ,4.79,4.91,4.76,4.89,4.88,-0.09,-1.8443,1.4319,65170245,313285057.0,21800503484.2,21800503484.2
2017-10-27,'600567,ɽӥֽҵ,4.88,4.99,4.87,4.97,4.96,-0.08,-1.6129,1.1289,51378101,252633314.0,22210116284.6,22210116284.6
2017-10-26,'600567,ɽӥֽҵ,4.96,5.0,4.89,4.99,4.99,-0.03,-0.6012,1.4391,65498508,323909713.0,22574216551.5,22574216551.5
2017-10-25,'600567,ɽӥֽҵ,4.99,5.01,4.93,4.97,4.97,0.02,0.4024,1.3222,60176782,298860401.0,22710754151.6,22710754151.6
2017-10-24,'600567,ɽӥֽҵ,4.97,5.02,4.91,4.98,4.99,-0.02,-0.4008,1.1394,51855399,256698566.0,22619729084.9,22619729084.9
2017-10-23,'600567,ɽӥֽҵ,4.99,5.01,4.76,4.82,4.81,0.18,3.7422,2.2616,102930140,505532726.0,22710754151.6,22710754151.6
2017-10-20,'600567,ɽӥֽҵ,4.81,4.83,4.59,4.74,4.74,0.07,1.4768,1.6017,72898016,345906241.0,21891528551.0,21891528551.0
2017-10-19,'600567,ɽӥֽҵ,4.74,4.81,4.67,4.73,4.7,0.04,0.8511,1.633,74320329,352804435.0,21572940817.4,21572940817.4
2017-10-18,'600567,ɽӥֽҵ,4.7,4.96,4.66,4.95,4.95,-0.25,-5.0505,2.4235,110300636,527123822.0,21390890683.9,21390890683.9
2017-10-17,'600567,ɽӥֽҵ,4.95,4.98,4.91,4.97,4.97,-0.02,-0.4024,0.8099,36861303,182268839.0,22528704018.2,22528704018.2
2017-10-16,'600567,ɽӥֽҵ,4.97,5.05,4.91,4.94,4.93,0.04,0.8114,1.6263,74014841,368525556.0,22619729084.9,22619729084.9
2017-10-13,'600567,ɽӥֽҵ,4.93,4.95,4.81,4.9,4.94,-0.01,-0.2024,1.3344,60732092,297163515.0,22437678951.4,22437678951.4
2017-10-12,'600567,ɽӥֽҵ,4.94,4.97,4.83,4.92,4.91,0.03,0.611,2.2176,100926595,493099768.0,22483191484.8,22483191484.8
2017-10-11,'600567,ɽӥֽҵ,4.91,5.28,4.89,5.28,5.27,-0.36,-6.8311,4.599,209311370,1047342279.0,22346653884.7,22346653884.7
2017-10-10,'600567,ɽӥֽҵ,5.27,5.39,5.17,5.38,5.42,-0.15,-2.7675,2.4151,109919086,576591495.0,23985105086.0,23985105086.0
2017-10-09,'600567,ɽӥֽҵ,5.42,5.58,5.34,5.55,5.48,-0.06,-1.0949,2.4486,111444103,603653389.0,24667793086.5,24667793086.5
2017-09-29,'600567,ɽӥֽҵ,5.48,5.48,5.31,5.31,5.32,0.16,3.0075,2.3283,105969041,575166193.0,24940868286.8,24940868286.8
2017-09-28,'600567,ɽӥֽҵ,5.32,5.44,5.3,5.36,5.37,-0.05,-0.9311,1.529,69586955,373074266.0,24212667752.8,24212667752.8
2017-09-27,'600567,ɽӥֽҵ,5.37,5.37,5.17,5.2,5.2,0.17,3.2692,2.052,93390284,495127147.0,24440230419.7,24440230419.7
2017-09-26,'600567,ɽӥֽҵ,5.2,5.21,5.08,5.14,5.15,0.05,0.9709,1.2255,55774029,287276955.0,23666517352.4,23666517352.4
2017-09-25,'600567,ɽӥֽҵ,5.15,5.39,5.11,5.33,5.34,-0.19,-3.5581,2.1559,98121998,513737093.0,23438954685.5,23438954685.5
2017-09-22,'600567,ɽӥֽҵ,5.34,5.38,5.11,5.22,5.25,0.09,1.7143,2.5083,114159130,600061623.0,24303692819.6,24303692819.6
2017-09-21,'600567,ɽӥֽҵ,5.25,5.47,5.24,5.36,5.37,-0.12,-2.2346,2.1617,98383556,529439639.0,23894080019.2,23894080019.2
2017-09-20,'600567,ɽӥֽҵ,5.37,5.38,5.18,5.31,5.28,0.09,1.7045,2.327,105906247,559282610.0,24440230419.7,24440230419.7
2017-09-19,'600567,ɽӥֽҵ,5.28,5.46,5.24,5.45,5.48,-0.2,-3.6496,2.2779,103672263,552543514.0,24030617619.4,24030617619.4
2017-09-18,'600567,ɽӥֽҵ,5.48,5.48,5.33,5.42,5.41,0.07,1.2939,1.8351,83519500,451306549.0,24940868286.8,24940868286.8
